topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1001-A.M.100.A.1,0.13755067195417492,0.16875,0.15147224570301493,0.005050505050505051,0.006329113924050633,0.005617977528089888,0.08370180656532275,0.103125,0.0923570019723866
D1002-A.M.100.A.1,0.12531644669473205,0.19758064516129034,0.15332336808704983,0.007814178302900108,0.012295081967213115,0.009554910498306724,0.07947345403345091,0.125,0.09714582257436333
D1003-A.M.100.A.1,0.17939791132216037,0.22945205479452052,0.20112952278199955,0.014534883720930232,0.017361111111111112,0.015822784810126583,0.08843659504673138,0.11301369863013698,0.09911137301810675
D1004-A.M.100.A.1,0.1652376578504649,0.23214285714285715,0.19291574927142785,0.007142857142857143,0.010869565217391304,0.008620689655172414,0.10726095841011843,0.15,0.1249967611818577
D1005-A.M.100.A.1,0.13277887119340737,0.21666666666666667,0.16449494451564847,0.0,0.0,0.0,0.08222457641301656,0.13333333333333333,0.10161085368124706
D1006-A.M.100.A.1,0.1764367816091954,0.22635135135135137,0.19817276235831666,0.012945241892610315,0.017123287671232876,0.014742524916943521,0.09225933908045977,0.11824324324324324,0.10358035268080246
D1007-A.M.100.B.1,0.12050519804696072,0.18359375,0.14545167635411388,0.005263157894736842,0.007936507936507936,0.006329113924050633,0.06448046960719772,0.09765625,0.07764583167571898
D1008-A.M.100.B.1,0.1261297153454738,0.17,0.14474382694575785,0.002336448598130841,0.0033783783783783786,0.002762430939226519,0.07725672284950635,0.10333333333333333,0.08837683048775893
D1009-A.M.100.B.1,0.17871757067029947,0.21130952380952378,0.19360137957897874,0.010214721526908636,0.012048192771084338,0.011053097986308795,0.10844292171448311,0.12797619047619047,0.11737256151317585
D1010-A.M.100.B.1,0.1204424626136083,0.17142857142857143,0.14147766082452912,0.007576272933415791,0.010869565217391304,0.008928782333895185,0.08531265371435102,0.12142857142857143,0.1002127374358858
D1011-A.M.100.C.1,0.10993646514439195,0.12941176470588234,0.11887193101614354,0.0,0.0,0.0,0.07007739964414877,0.08235294117647059,0.07571348937572846
D1012-A.M.100.C.1,0.12419117647058824,0.14080459770114942,0.13195856252751142,0.0051568314726209465,0.005813953488372093,0.005465133641929222,0.07064338235294118,0.08045977011494251,0.07522253809621215
D1013-A.M.100.C.1,0.15372097477604904,0.17329545454545453,0.16287957500241942,0.0050354251012145745,0.005747126436781609,0.005365053794373166,0.08544687057991512,0.09659090909090909,0.09065274748433189
D1014-A.M.100.C.1,0.15355697411846447,0.16853932584269665,0.16067253507184856,0.010582306830907055,0.011363636363636364,0.010958986368822435,0.10481826472120895,0.11516853932584269,0.10973165875911871
D1015-A.M.100.C.1,0.10575547041246405,0.1360759493670886,0.11898137658040947,0.004883743091290261,0.00641025641025641,0.005542250061409973,0.05673077642271862,0.07278481012658228,0.06374410651839514
D1016-A.M.100.C.1,0.04491585041206716,0.075,0.056179640670905855,0.0,0.0,0.0,0.037488665946047744,0.0625,0.04686215600832917
D1017-A.M.100.D.1,0.10008336668000534,0.125,0.11108405483405484,0.0,0.0,0.0,0.07429305055355476,0.09294871794871794,0.08252164502164502
D1018-A.M.100.D.1,0.12170072574484339,0.13988095238095238,0.13004040098653427,0.0053988157436433305,0.006024096385542169,0.005688429217840983,0.07960224999090545,0.09226190476190477,0.08539412385346695
D1019-A.M.100.D.1,0.1361182592618236,0.1590909090909091,0.14667110531081118,0.004887469006294106,0.005747126436781609,0.005280022290331568,0.07280279309982281,0.08522727272727273,0.07850488680320614
D1020-A.M.100.D.1,0.0023584905660377358,0.004464285714285714,0.0030864197530864196,0.0,0.0,0.0,0.0023584905660377358,0.004464285714285714,0.0030864197530864196
D1021-A.M.100.D.1,0.14641595274473426,0.16860465116279072,0.1567079069391743,0.007603587520544606,0.008823529411764706,0.00816766522742197,0.0735241066123419,0.08430232558139536,0.07853570130397143
D1022-A.M.100.D.1,0.14477626704453345,0.15934065934065933,0.15169633938333676,0.005129419191919192,0.005555555555555556,0.005333674688513399,0.07237777370823802,0.07967032967032966,0.07584192893015985
D1023-A.M.100.E.1,0.08538298358711252,0.08947368421052632,0.08735293888460309,0.0,0.0,0.0,0.06519665644375988,0.06842105263157895,0.06674509666409519
D1024-A.M.100.E.1,0.1076656848306333,0.125,0.11566315319281284,0.00500801282051282,0.0058823529411764705,0.005407933584729165,0.07505891016200295,0.0872093023255814,0.08066361925645775
D1025-A.M.100.E.1,0.07743271053782956,0.10616438356164383,0.08951960742049717,0.0,0.0,0.0,0.04503376626533358,0.06164383561643835,0.052028851423074875
D1026-A.M.100.E.1,0.1266886066568368,0.15822784810126583,0.14068684592061118,0.010212141580466447,0.01282051282051282,0.011366404454759322,0.08360223714290302,0.10443037974683544,0.09284503657588442
D1027-A.M.100.E.1,0.13649894401204826,0.16176470588235295,0.14805727850237377,0.0,0.0,0.0,0.08186480412747157,0.09705882352941177,0.08881405424594929
D1028-A.M.100.E.1,0.16269565111225062,0.17647058823529413,0.16847550172317888,0.008422717271727172,0.008928571428571428,0.00861053361053361,0.1016856721933273,0.10882352941176471,0.1045791897086047
D1029-A.M.100.F.1,0.12147039190042408,0.1331521739130435,0.12700112564289134,0.017464492553101715,0.019230769230769232,0.01830135574227145,0.0745257367164367,0.08152173913043478,0.07784142650138284
D1030-A.M.100.F.1,0.08391121457159192,0.10763888888888888,0.0934520089382356,0.0,0.0,0.0,0.06178523782297367,0.0763888888888889,0.06754918245298233
D1031-A.M.100.F.1,0.1315176232867006,0.16158536585365854,0.1449861345914098,0.0025,0.0030864197530864196,0.0027624309392265192,0.08435611852647582,0.10365853658536586,0.09300260971659452
D1032-A.M.100.F.1,0.1299568702670939,0.14488636363636362,0.13697898943800582,0.0,0.0,0.0,0.09712533123413125,0.10795454545454547,0.10222549156975387
D1033-A.M.100.F.1,0.14778741572543494,0.17352941176470588,0.15957701572489394,0.005263157894736842,0.005952380952380952,0.00558659217877095,0.09584491426899594,0.11176470588235293,0.10316406575369783
D1034-A.M.100.F.1,0.13279436337684714,0.1517857142857143,0.14163227697876768,0.0026041666666666665,0.0030120481927710845,0.0027932960893854745,0.07297248763900965,0.08333333333333333,0.07779464731187193
D1035-A.M.100.G.1,0.12941428109967434,0.1382978723404255,0.13361252034487403,0.0024271844660194173,0.002688172043010753,0.002551020408163265,0.07230335987358459,0.07712765957446809,0.07458364327896308
D1036-A.M.100.G.1,0.10635210529803163,0.14144736842105263,0.12138976155364568,0.0024509803921568627,0.0033333333333333335,0.002824858757062147,0.06939115007313887,0.09210526315789473,0.07913406796072214
D1037-A.M.100.G.1,0.12969100566326,0.16666666666666666,0.14583263049318923,0.0,0.0,0.0,0.07469842987190684,0.09615384615384615,0.08405863445397754
D1038-A.M.100.G.1,0.13691489361702128,0.1607142857142857,0.14783829995114803,0.005050505050505051,0.006024096385542169,0.005494505494505495,0.08361702127659575,0.09821428571428573,0.09031509526135807
D1039-A.M.100.G.1,0.1440327624995509,0.17682926829268295,0.15874784502626182,0.012551020408163265,0.015432098765432098,0.013843019846291552,0.07194428666167588,0.08841463414634146,0.07932961591144727
D1040-A.M.100.G.1,0.1349903350515464,0.1505681818181818,0.1423422381678626,0.005129419191919192,0.005747126436781609,0.005420412480169223,0.08402920962199313,0.09375,0.08861664624846864
D1041-A.M.100.H.1,0.13076817741567304,0.16772151898734178,0.14693840591761131,0.0024271844660194173,0.003205128205128205,0.002762430939226519,0.0889584889553689,0.11392405063291139,0.09989266167824054
D1042-A.M.100.H.1,0.1834286687095676,0.21385542168674698,0.19737033204436943,0.010178313749742322,0.012195121951219513,0.01109576427255985,0.10836170695721259,0.12650602409638556,0.11667200825607232
D1043-A.M.100.H.1,0.19147651607265992,0.21590909090909094,0.20292886155952694,0.015210594876248372,0.017241379310344827,0.016160320807704624,0.10849900779551638,0.12215909090909091,0.11490693313258404
D1044-A.M.100.H.1,0.11235543407340934,0.19999999999999998,0.14369141529295631,0.011363636363636364,0.018518518518518517,0.014084507042253521,0.06786314116879455,0.12272727272727273,0.0873018602964943
D1045-A.M.100.H.1,0.1931254496502926,0.2598684210526316,0.22155951298855556,0.044411652703731916,0.060000000000000005,0.05104113763331641,0.11009571524991285,0.14802631578947367,0.12626245424910315
D1046-A.M.100.H.1,0.15634021391848715,0.18902439024390244,0.1710509358834853,0.01257031834462467,0.015432098765432098,0.013849322956510693,0.10366938432640518,0.125,0.11328211775671346
